district_name,fort_name,link
Ratnagiri,Purnagad,https://en.wikipedia.org/wiki/Purnagad
Ratnagiri,Rasalgad,https://en.wikipedia.org/wiki/Rasalgad
Ratnagiri,"Ratnagiri Fort, Maharashtra","https://en.wikipedia.org/wiki/Ratnagiri_Fort,_Maharashtra"
Ratnagiri,Suamargad,https://en.wikipedia.org/wiki/Suamargad
Ratnagiri,Suvarnadurg,https://en.wikipedia.org/wiki/Suvarnadurg
Ratnagiri,Vijaygad Fort,https://en.wikipedia.org/wiki/Vijaygad_Fort
Ratnagiri,Yeshwantgad,https://en.wikipedia.org/wiki/Yeshwantgad
Sindhudurg,Devgad fort,https://en.wikipedia.org/wiki/Devgad_fort
Sindhudurg,Hanumantgad,https://en.wikipedia.org/wiki/Hanumantgad
Sindhudurg,Mansantoshgad,https://en.wikipedia.org/wiki/Mansantoshgad
Sindhudurg,Nivati fort,https://en.wikipedia.org/wiki/Nivati_fort
Sindhudurg,Sindhudurg Fort,https://en.wikipedia.org/wiki/Sindhudurg_Fort
Sindhudurg,Vijaydurg Fort,https://en.wikipedia.org/wiki/Vijaydurg_Fort
Sangli,Machindragad,https://en.wikipedia.org/wiki/Machindragad
Satara,Ajinkyatara,https://en.wikipedia.org/wiki/Ajinkyatara
Satara,Bhairavgad,https://en.wikipedia.org/wiki/Bhairavgad
Satara,Bhushangad,https://en.wikipedia.org/wiki/Bhushangad
Satara,Chandan Fort,https://en.wikipedia.org/wiki/Chandan_Fort
Satara,Dategad,https://en.wikipedia.org/wiki/Dategad
Satara,Jangali Jayagad,https://en.wikipedia.org/wiki/Jangali_Jayagad
Satara,Kalyangad,https://en.wikipedia.org/wiki/Kalyangad
Satara,Kamalgad,https://en.wikipedia.org/wiki/Kamalgad
Satara,Kenjalgad,https://en.wikipedia.org/wiki/Kenjalgad
Satara,Mahimangad,https://en.wikipedia.org/wiki/Mahimangad
Satara,Makrandgad,https://en.wikipedia.org/wiki/Makrandgad
Satara,Pandavgad,https://en.wikipedia.org/wiki/Pandavgad
Satara,Pratapgad,https://en.wikipedia.org/wiki/Pratapgad
Satara,Sajjangad,https://en.wikipedia.org/wiki/Sajjangad
Satara,Santoshgad,https://en.wikipedia.org/wiki/Santoshgad
Satara,Vairatgad Fort,https://en.wikipedia.org/wiki/Vairatgad_Fort
Satara,Vandan Fort,https://en.wikipedia.org/wiki/Vandan_Fort
Satara,Vardhangad Fort,https://en.wikipedia.org/wiki/Vardhangad_Fort
Satara,Varugad,https://en.wikipedia.org/wiki/Varugad
Satara,Vasota Fort,https://en.wikipedia.org/wiki/Vasota_Fort
Vidarbha,Ballarpur Fort,https://en.wikipedia.org/wiki/Ballarpur_Fort
Vidarbha,Gawilghur,https://en.wikipedia.org/wiki/Gawilghur
Vidarbha,Manikgad,https://en.wikipedia.org/wiki/Manikgad
Vidarbha,Narnala,https://en.wikipedia.org/wiki/Narnala
Vidarbha,Sitabuldi Fort,https://en.wikipedia.org/wiki/Sitabuldi_Fort
Vidarbha,Vairagad Fort,https://en.wikipedia.org/wiki/Vairagad_Fort
